cluster_id,cluster_size,top_terms,intent,include_in_training,notes
0,292,"phone, update, time, updated phone, working, freezing, apps",software_bug_after_update,True,"App/phone freezing, hanging, misbehaving right after an update. Merged with cluster 1 (near-duplicate)."
1,167,"new, new update, update, phone, new phone, hey, battery",software_bug_after_update,True,"Same theme as cluster 0 (post-update crashes/freezes), collapsed into one intent rather than kept separate — the distinction wasn't meaningful for reply drafting."
2,145,"help, need, need help, phone, didn, pls, update, won",general_help_request,True,"Broad/vague help asks across mixed sub-topics (iMessage, account access, photo app crashing). Kept as catch-all rather than force-split."
3,254,"fix, glitch, fix glitch, issue, going, shit, need",general_help_request,True,"Merged with cluster 2 — same 'please fix X' pattern, mixed sub-topics, no clean further split found by eye."
4,115,"screen, lock, lock screen, black, black screen, fix, home screen",screen_display_issue,True,"Cracked screen, black screen, lock screen / control center malfunction after update."
5,1416,"update, time, problem, music, app, wtf, like, plus",general_software_complaint,True,"CATCH-ALL — ~47% of the 3000-message sample landed here. Multilingual (Spanish/French present), no clean further split found by manual skim. Named honestly as a catch-all rather than force-split into fake specificity. See decision log + report 'what I chose not to build'."
6,110,"thanks, issue, fixed, having issue, fixed thanks, hi",NOT_AN_INTENT_followup_ack,False,"These are customer follow-ups/acknowledgments after a brand reply ('thanks, fixed'), not new incoming complaints. Excluded from classifier training labels. Possible sign data_prep.py's pairing sometimes treats a follow-up as a fresh customer message — flagged as a failure mode to verify."
7,171,"just, phone, got, just got, update, know, music, messages",new_device_defect,True,"Problem surfaced on a device bought very recently ('just bought', 'brand new')."
8,52,"yes, yes does, happening, yes did, times, does, twice",NOT_AN_INTENT_short_confirmation,False,"One-word/short confirmations answering a question the brand already asked ('Yes it is.'). Not a new-intent message. Excluded from classifier training labels, same reasoning as cluster 6."
9,60,"wifi, bluetooth, connected, turn, connected wifi, connect wifi",connectivity_issue,True,"WiFi/Bluetooth dropping or failing to connect since an update."
10,54,"question, mark, question mark, marks, box, boxes, fix, letter",keyboard_autocorrect_bug,True,"Specific well-known iOS 11 keyboard bug: certain letters turn into a question-mark box. Kept as its own narrow intent (not folded into software_bug_after_update) because it's a single recognizable known bug worth a canned fix reply, which is a different reply strategy than a generic 'we're investigating' response."
11,164,"battery, life, battery life, update, phone, draining, drain",battery_drain,True,"Battery draining faster since an update."
